word,mean,level
travel,旅行する,600
trouble,悩み,600
trust,信頼する,600
unable,できない,600
understand,理解する,600
unfortunate,不運な,600
unit,単位,600
university,大学,600
update,更新する,600
urgent,緊急の,600
useful,役立つ,600
value,価値,600
various,さまざまな,600
vehicle,車両,600
visit,訪問する,600
voice,声,600
volunteer,有志,600
wage,賃金,600
waste,無駄にする,600
weather,天気,600
website,ウェブサイト,600
weekly,毎週の,600
welcome,歓迎する,600
whether,〜かどうか,600
whole,全体の,600
within,〜以内に,600
worker,労働者,600
workshop,研修会,600
worth,価値がある,600
yet,まだ・しかし,600
zone,地域,600
